,0,1,2
848.2,4.0,5.1193,-1.5139
848.3,5.0,4.4057,-1.6847
848.4,6.0,5.7823,12.0
849,2.0,6.3189,8.8184
849.1,3.0,6.8563,11.137
849.2,4.0,5.116,-1.4152
849.3,5.0,4.4188,-1.5841
849.4,6.0,5.7993,11.919
850,2.0,6.3373,8.7299
850.1,3.0,6.837,11.033
850.2,4.0,5.1127,-1.3165
850.3,5.0,4.432,-1.4834
850.4,6.0,5.8163,11.837
851,2.0,6.3557,8.6413
851.1,3.0,6.8176,10.93
851.2,4.0,5.1094,-1.2177
851.3,5.0,4.4451,-1.3827
851.4,6.0,5.8333,11.756
852,2.0,6.374,8.5528
852.1,3.0,6.7983,10.826
852.2,4.0,5.1061,-1.119
852.3,5.0,4.4582,-1.282
852.4,6.0,5.8503,11.675
853,2.0,6.3919,8.4769
853.1,3.0,6.7962,10.754
853.2,4.0,5.1028,-1.0217
853.3,5.0,4.4557,-1.1841
853.4,6.0,5.8617,11.579
854,2.0,6.4097,8.4011
854.1,3.0,6.7942,10.682
854.2,4.0,5.0995,-0.92431
854.3,5.0,4.4531,-1.0862
854.4,6.0,5.8731,11.483
855,2.0,6.4275,8.3253
855.1,3.0,6.7922,10.61
855.2,4.0,5.0962,-0.82697
855.3,5.0,4.4506,-0.98833
855.4,6.0,5.8844,11.388
856,2.0,6.4454,8.2495
856.1,3.0,6.7902,10.538
856.2,4.0,5.093,-0.72964
856.3,5.0,4.4481,-0.89043
856.4,6.0,5.8958,11.292
857,2.0,6.4632,8.1737
857.1,3.0,6.7881,10.466
857.2,4.0,5.0897,-0.6323
857.3,5.0,4.4456,-0.79254
857.4,6.0,5.9072,11.197
858,2.0,6.481,8.0979
858.1,3.0,6.7861,10.394
858.2,4.0,5.0864,-0.53496
858.3,5.0,4.4431,-0.69465
858.4,6.0,5.9186,11.101
859,2.0,6.4923,8.0208
859.1,3.0,6.7985,10.302
859.2,4.0,5.0753,-0.43094
859.3,5.0,4.4097,-0.59192
859.4,6.0,5.9169,11.003
860,2.0,6.5035,7.9437
860.1,3.0,6.8109,10.21
860.2,4.0,5.0642,-0.32693
860.3,5.0,4.3763,-0.4892
860.4,6.0,5.9153,10.906
861,2.0,6.5147,7.8666
861.1,3.0,6.8233,10.118
861.2,4.0,5.053,-0.22292
861.3,5.0,4.343,-0.38647
861.4,6.0,5.9137,10.808
862,2.0,6.5259,7.7895
862.1,3.0,6.8358,10.025
862.2,4.0,5.0419,-0.11891
862.3,5.0,4.3096,-0.28375
862.4,6.0,5.9121,10.71
863,2.0,6.5371,7.7125
863.1,3.0,6.8482,9.9331
863.2,4.0,5.0308,-0.014895
863.3,5.0,4.2762,-0.18102
863.4,6.0,5.9105,10.612
864,2.0,6.5483,7.6354
864.1,3.0,6.8606,9.8409
864.2,4.0,5.0196,0.089118
864.3,5.0,4.2429,-0.078294
864.4,6.0,5.9088,10.515
865,2.0,6.5597,7.5573
865.1,3.0,6.859,9.7602
865.2,4.0,5.016,0.20069
865.3,5.0,4.2402,0.033979
865.4,6.0,5.9065,10.429
866,2.0,6.5711,7.4793
866.1,3.0,6.8574,9.6794
866.2,4.0,5.0123,0.31227
866.3,5.0,4.2376,0.14625
866.4,6.0,5.9042,10.343
867,2.0,6.5824,7.4012
867.1,3.0,6.8559,9.5987
867.2,4.0,5.0086,0.42385
867.3,5.0,4.235,0.25852
867.4,6.0,5.9019,10.256
868,2.0,6.5938,7.3232
868.1,3.0,6.8543,9.518
868.2,4.0,5.0049,0.53543
868.3,5.0,4.2323,0.3708
868.4,6.0,5.8996,10.17
869,2.0,6.6051,7.2451
869.1,3.0,6.8527,9.4372
869.2,4.0,5.0012,0.647
869.3,5.0,4.2297,0.48307
869.4,6.0,5.8973,10.084
870,2.0,6.6165,7.1671
870.1,3.0,6.8512,9.3565
870.2,4.0,4.9975,0.75858
870.3,5.0,4.2271,0.59534
870.4,6.0,5.895,9.9982
871,2.0,6.6206,7.0949
871.1,3.0,6.842,9.288
871.2,4.0,4.9867,0.85939
871.3,5.0,4.2171,0.69677
871.4,6.0,5.913,9.905
872,2.0,6.6248,7.0228
872.1,3.0,6.8329,9.2194
872.2,4.0,4.9758,0.96019
872.3,5.0,4.2072,0.79819
872.4,6.0,5.9311,9.8118
873,2.0,6.629,6.9506
873.1,3.0,6.8238,9.1509
873.2,4.0,4.965,1.061
873.3,5.0,4.1973,0.89961
873.4,6.0,5.9491,9.7186
874,2.0,6.6331,6.8785
874.1,3.0,6.8146,9.0824
874.2,4.0,4.9541,1.1618
874.3,5.0,4.1873,1.001
874.4,6.0,5.9672,9.6254
875,2.0,6.6373,6.8063
875.1,3.0,6.8055,9.0139
875.2,4.0,4.9433,1.2626
875.3,5.0,4.1774,1.1025
875.4,6.0,5.9853,9.5322
876,2.0,6.6415,6.7342
876.1,3.0,6.7963,8.9454
876.2,4.0,4.9324,1.3634
876.3,5.0,4.1674,1.2039
876.4,6.0,6.0033,9.439
877,2.0,6.6522,6.6689
877.1,3.0,6.8086,8.8563
877.2,4.0,4.9217,1.4627
877.3,5.0,4.1576,1.3038
877.4,6.0,6.0078,9.3506
878,2.0,6.6629,6.6037
878.1,3.0,6.8208,8.7672
878.2,4.0,4.911,1.5621
878.3,5.0,4.1478,1.4037
878.4,6.0,6.0124,9.2622
879,2.0,6.6737,6.5384
879.1,3.0,6.8331,8.6781
879.2,4.0,4.9004,1.6614
879.3,5.0,4.138,1.5037
879.4,6.0,6.0169,9.1738
880,2.0,6.6844,6.4731
880.1,3.0,6.8454,8.5891
880.2,4.0,4.8897,1.7607
880.3,5.0,4.1282,1.6036
880.4,6.0,6.0214,9.0854
881,2.0,6.6951,6.4079
881.1,3.0,6.8576,8.5
881.2,4.0,4.879,1.8601
881.3,5.0,4.1184,1.7035
881.4,6.0,6.0259,8.997
882,2.0,6.7059,6.3426
882.1,3.0,6.8699,8.4109
882.2,4.0,4.8683,1.9594
882.3,5.0,4.1086,1.8035
882.4,6.0,6.0304,8.9085
883,2.0,6.7163,6.2841
883.1,3.0,6.8678,8.3338
883.2,4.0,4.8649,2.0659
883.3,5.0,4.1063,1.9107
883.4,6.0,6.0278,8.8254
884,2.0,6.7267,6.2256
884.1,3.0,6.8658,8.2568
884.2,4.0,4.8615,2.1725
884.3,5.0,4.1039,2.0179
884.4,6.0,6.0253,8.7423
885,2.0,6.7371,6.167
885.1,3.0,6.8638,8.1798
885.2,4.0,4.8581,2.279
885.3,5.0,4.1015,2.1251
885.4,6.0,6.0227,8.6592
886,2.0,6.7475,6.1085
886.1,3.0,6.8618,8.1027
886.2,4.0,4.8547,2.3856
886.3,5.0,4.0991,2.2323
886.4,6.0,6.0201,8.5761
887,2.0,6.7579,6.05
887.1,3.0,6.8598,8.0257
887.2,4.0,4.8513,2.4921
887.3,5.0,4.0967,2.3394
887.4,6.0,6.0176,8.493
888,2.0,6.7684,5.9915
888.1,3.0,6.8577,7.9486
888.2,4.0,4.8479,2.5987
888.3,5.0,4.0943,2.4466
888.4,6.0,6.015,8.4098
889,2.0,6.7933,5.9258
889.1,3.0,6.8493,7.8631
889.2,4.0,4.8372,2.703
889.3,5.0,4.0844,2.5597
889.4,6.0,6.0264,8.3192
890,2.0,6.8183,5.8601
890.1,3.0,6.8408,7.7776
890.2,4.0,4.8265,2.8074
890.3,5.0,4.0745,2.6727
890.4,6.0,6.0379,8.2286
891,2.0,6.8433,5.7944
891.1,3.0,6.8324,7.6921
891.2,4.0,4.8159,2.9117
891.3,5.0,4.0646,2.7857
891.4,6.0,6.0493,8.138
892,2.0,6.8682,5.7287
892.1,3.0,6.8239,7.6065
892.2,4.0,4.8052,3.0161
892.3,5.0,4.0547,2.8987
892.4,6.0,6.0607,8.0473
893,2.0,6.8932,5.6631
893.1,3.0,6.8155,7.521
893.2,4.0,4.7945,3.1204
893.3,5.0,4.0448,3.0117
893.4,6.0,6.0721,7.9567
894,2.0,6.9182,5.5974
894.1,3.0,6.807,7.4355
894.2,4.0,4.7838,3.2247
894.3,5.0,4.0348,3.1247
894.4,6.0,6.0836,7.8661
895,2.0,6.9289,5.5377
895.1,3.0,6.8118,7.3567
895.2,4.0,4.7808,3.3201
895.3,5.0,4.0328,3.2205
895.4,6.0,6.0944,7.7884
896,2.0,6.9395,5.4781
896.1,3.0,6.8165,7.2779
896.2,4.0,4.7778,3.4154
896.3,5.0,4.0307,3.3162
896.4,6.0,6.1053,7.7108
897,2.0,6.9502,5.4184
897.1,3.0,6.8213,7.1991
897.2,4.0,4.7749,3.5107
897.3,5.0,4.0286,3.412
897.4,6.0,6.1161,7.6331
898,2.0,6.9609,5.3588
898.1,3.0,6.8261,7.1203
898.2,4.0,4.7719,3.6061
898.3,5.0,4.0265,3.5078
898.4,6.0,6.127,7.5554
899,2.0,6.9716,5.2991
899.1,3.0,6.8308,7.0415
899.2,4.0,4.7689,3.7014
899.3,5.0,4.0244,3.6036
899.4,6.0,6.1378,7.4777
900,2.0,6.9822,5.2395
900.1,3.0,6.8356,6.9627
900.2,4.0,4.7659,3.7967
900.3,5.0,4.0224,3.6993
900.4,6.0,6.1487,7.4001
901,2.0,6.9916,5.2021
901.1,3.0,6.8603,6.8987
901.2,4.0,4.7548,3.9212
901.3,5.0,4.0274,3.802
901.4,6.0,6.1466,7.3062
902,2.0,7.001,5.1647
902.1,3.0,6.885,6.8347
902.2,4.0,4.7436,4.0457
902.3,5.0,4.0324,3.9046
902.4,6.0,6.1445,7.2123
903,2.0,7.0103,5.1273
903.1,3.0,6.9097,6.7706
903.2,4.0,4.7325,4.1702
903.3,5.0,4.0375,4.0073
903.4,6.0,6.1424,7.1184
904,2.0,7.0197,5.0899
904.1,3.0,6.9344,6.7066
904.2,4.0,4.7214,4.2947
904.3,5.0,4.0425,4.1099
904.4,6.0,6.1403,7.0245
905,2.0,7.0291,5.0525
905.1,3.0,6.9591,6.6426
905.2,4.0,4.7103,4.4192
905.3,5.0,4.0476,4.2126
905.4,6.0,6.1382,6.9306
906,2.0,7.0384,5.0151
906.1,3.0,6.9838,6.5785
906.2,4.0,4.6991,4.5437
906.3,5.0,4.0526,4.3153
906.4,6.0,6.136,6.8367
907,2.0,7.0691,4.9789
907.1,3.0,6.9883,6.5053
907.2,4.0,4.6958,4.6511
907.3,5.0,4.0502,4.4235
907.4,6.0,6.1401,6.7565
908,2.0,7.0997,4.9426
908.1,3.0,6.9929,6.4321
908.2,4.0,4.6925,4.7585
908.3,5.0,4.0478,4.5317
908.4,6.0,6.1442,6.6763
909,2.0,7.1303,4.9063
909.1,3.0,6.9974,6.3588
909.2,4.0,4.6892,4.8658
909.3,5.0,4.0454,4.6399
909.4,6.0,6.1483,6.596
910,2.0,7.161,4.8701
910.1,3.0,7.002,6.2856
910.2,4.0,4.6859,4.9732
910.3,5.0,4.043,4.7482
910.4,6.0,6.1524,6.5158
911,2.0,7.1916,4.8338
911.1,3.0,7.0065,6.2124
911.2,4.0,4.6826,5.0806
911.3,5.0,4.0405,4.8564
911.4,6.0,6.1565,6.4355
912,2.0,7.2222,4.7976
912.1,3.0,7.0111,6.1392
912.2,4.0,4.6793,5.188
912.3,5.0,4.0381,4.9646
912.4,6.0,6.1606,6.3553
913,2.0,7.2818,4.7553
913.1,3.0,7.0222,6.0729
913.2,4.0,4.6834,5.2866
913.3,5.0,4.0431,5.064
913.4,6.0,6.1718,6.2744
914,2.0,7.3414,4.7131
914.1,3.0,7.0333,6.0067
914.2,4.0,4.6874,5.3851
914.3,5.0,4.048,5.1633
914.4,6.0,6.1829,6.1935
915,2.0,7.4011,4.6708
915.1,3.0,7.0445,5.9405
915.2,4.0,4.6915,5.4837
915.3,5.0,4.053,5.2626
915.4,6.0,6.1941,6.1127
916,2.0,7.4607,4.6286
916.1,3.0,7.0556,5.8742
916.2,4.0,4.6956,5.5822
916.3,5.0,4.0579,5.3619
916.4,6.0,6.2053,6.0318
917,2.0,7.5203,4.5863
917.1,3.0,7.0667,5.808
917.2,4.0,4.6997,5.6807
917.3,5.0,4.0628,5.4612
917.4,6.0,6.2164,5.9509
918,2.0,7.5799,4.544
918.1,3.0,7.0778,5.7418
918.2,4.0,4.7037,5.7793
918.3,5.0,4.0678,5.5605
918.4,6.0,6.2276,5.87
919,2.0,7.5809,4.5287
919.1,3.0,7.0886,5.6824
919.2,4.0,4.7007,5.8759
919.3,5.0,4.0656,5.6578
919.4,6.0,6.2177,5.7868
920,2.0,7.582,4.5133
920.1,3.0,7.0994,5.623
920.2,4.0,4.6977,5.9725
920.3,5.0,4.0633,5.7552
920.4,6.0,6.2078,5.7036
921,2.0,7.583,4.498
921.1,3.0,7.1102,5.5636
921.2,4.0,4.6947,6.0691
921.3,5.0,4.0611,5.8525
921.4,6.0,6.1979,5.6204
922,2.0,7.5841,4.4826
922.1,3.0,7.1209,5.5042
922.2,4.0,4.6916,6.1657
922.3,5.0,4.0589,5.9499
922.4,6.0,6.1881,5.5372
923,2.0,7.5851,4.4672
923.1,3.0,7.1317,5.4448
923.2,4.0,4.6886,6.2623
923.3,5.0,4.0567,6.0472
923.4,6.0,6.1782,5.454
924,2.0,7.5862,4.4519
924.1,3.0,7.1425,5.3854
924.2,4.0,4.6856,6.3589
924.3,5.0,4.0544,6.1445
924.4,6.0,6.1683,5.3708
925,2.0,7.539,4.41
925.1,3.0,7.1247,5.3313
925.2,4.0,4.6824,6.4613
925.3,5.0,4.0521,6.2477
925.4,6.0,6.1575,5.3017
926,2.0,7.4919,4.3682
926.1,3.0,7.1069,5.2771
926.2,4.0,4.6792,6.5637
926.3,5.0,4.0497,6.3509
926.4,6.0,6.1468,5.2326
927,2.0,7.4447,4.3263
927.1,3.0,7.089,5.223
927.2,4.0,4.6759,6.6661
927.3,5.0,4.0473,6.454
927.4,6.0,6.136,5.1635
928,2.0,7.3975,4.2845
928.1,3.0,7.0712,5.1689
928.2,4.0,4.6727,6.7684
928.3,5.0,4.045,6.5572
928.4,6.0,6.1252,5.0944
929,2.0,7.3504,4.2426
929.1,3.0,7.0534,5.1147
929.2,4.0,4.6695,6.8708
929.3,5.0,4.0426,6.6604
929.4,6.0,6.1145,5.0253
930,2.0,7.3032,4.2008
930.1,3.0,7.0356,5.0606
930.2,4.0,4.6663,6.9732
930.3,5.0,4.0403,6.7635
930.4,6.0,6.1037,4.9563
930.5,7.0,5.868,12.092
931,2.0,7.3409,4.1721
931.1,3.0,7.0234,5.0293
931.2,4.0,4.7109,7.0978
931.3,5.0,4.0587,6.8733
931.4,6.0,6.1079,4.8719
931.5,7.0,5.8944,11.96
932,2.0,7.3786,4.1434
932.1,3.0,7.0111,4.998
932.2,4.0,4.7554,7.2225
932.3,5.0,4.0771,6.9831
932.4,6.0,6.112,4.7875
932.5,7.0,5.9207,11.827
933,2.0,7.4162,4.1147
933.1,3.0,6.9988,4.9667
933.2,4.0,4.7999,7.3471
933.3,5.0,4.0955,7.0929
933.4,6.0,6.1162,4.7031
933.5,7.0,5.947,11.695
934,2.0,7.4539,4.086
934.1,3.0,6.9865,4.9355
934.2,4.0,4.8444,7.4717
934.3,5.0,4.114,7.2026
934.4,6.0,6.1203,4.6187
934.5,7.0,5.9734,11.563
935,2.0,7.4915,4.0574
935.1,3.0,6.9743,4.9042
935.2,4.0,4.889,7.5964
935.3,5.0,4.1324,7.3124
935.4,6.0,6.1245,4.5343
935.5,7.0,5.9997,11.431
936,2.0,7.5292,4.0287
936.1,3.0,6.962,4.8729
936.2,4.0,4.9335,7.721
936.3,5.0,4.1508,7.4222
936.4,6.0,6.1287,4.4499
936.5,7.0,6.026,11.298
937,2.0,7.5735,4.0082
937.1,3.0,6.9719,4.8275
937.2,4.0,4.9369,7.82
937.3,5.0,4.1553,7.5222
937.4,6.0,6.1477,4.3575
937.5,7.0,6.02,11.162
938,2.0,7.6179,3.9877
938.1,3.0,6.9818,4.782
938.2,4.0,4.9402,7.9189
938.3,5.0,4.1597,7.6222
938.4,6.0,6.1667,4.2651
938.5,7.0,6.014,11.025
939,2.0,7.6622,3.9672
939.1,3.0,6.9916,4.7366
939.2,4.0,4.9436,8.0179
939.3,5.0,4.1642,7.7223
939.4,6.0,6.1857,4.1728
939.5,7.0,6.008,10.889
940,2.0,7.7066,3.9467
940.1,3.0,7.0015,4.6912
940.2,4.0,4.947,8.1169
940.3,5.0,4.1686,7.8223
940.4,6.0,6.2047,4.0804
940.5,7.0,6.002,10.752
941,2.0,7.751,3.9262
941.1,3.0,7.0114,4.6458
941.2,4.0,4.9503,8.2159
941.3,5.0,4.1731,7.9223
941.4,6.0,6.2237,3.988
941.5,7.0,5.996,10.615
942,2.0,7.7953,3.9057
942.1,3.0,7.0212,4.6004
942.2,4.0,4.9537,8.3148
942.3,5.0,4.1776,8.0223
942.4,6.0,6.2427,3.8956
942.5,7.0,5.99,10.479
943,2.0,7.7992,3.8509
943.1,3.0,7.0155,4.5768
943.2,4.0,4.957,8.4122
943.3,5.0,4.182,8.1207
943.4,6.0,6.2322,3.8158
943.5,7.0,6.0094,10.36
944,2.0,7.803,3.7961
944.1,3.0,7.0098,4.5533
944.2,4.0,4.9603,8.5096
944.3,5.0,4.1863,8.2191
944.4,6.0,6.2217,3.736
944.5,7.0,6.0289,10.241
945,2.0,7.8069,3.7413
945.1,3.0,7.0041,4.5298
945.2,4.0,4.9636,8.6069
945.3,5.0,4.1907,8.3175
945.4,6.0,6.2112,3.6562
945.5,7.0,6.0483,10.123
946,2.0,7.8108,3.6865
946.1,3.0,6.9984,4.5063
946.2,4.0,4.9669,8.7043
946.3,5.0,4.1951,8.4159
946.4,6.0,6.2006,3.5764
946.5,7.0,6.0678,10.004
947,2.0,7.8146,3.6317
947.1,3.0,6.9927,4.4827
947.2,4.0,4.9702,8.8017
947.3,5.0,4.1995,8.5143
947.4,6.0,6.1901,3.4966
947.5,7.0,6.0872,9.8856
948,2.0,7.8185,3.5769
948.1,3.0,6.987,4.4592
948.2,4.0,4.9736,8.8991
948.3,5.0,4.2039,8.6126
948.4,6.0,6.1796,3.4168
948.5,7.0,6.1067,9.767
948.6,8.0,-0.415,-2.5878
949,2.0,7.8368,3.5227
949.1,3.0,6.9974,4.4056
949.2,4.0,4.99,9.0022
949.3,5.0,4.2077,8.7299
949.4,6.0,6.1896,3.3616
949.5,7.0,6.0872,9.6236
949.6,8.0,-0.31627,-2.5325
950,2.0,7.855,3.4684
950.1,3.0,7.0079,4.3519
950.2,4.0,5.0065,9.1054
950.3,5.0,4.2114,8.8472
950.4,6.0,6.1997,3.3063
950.5,7.0,6.0678,9.4802
950.6,8.0,-0.21753,-2.4773
951,2.0,7.8733,3.4142
951.1,3.0,7.0183,4.2982
951.2,4.0,5.0229,9.2086
951.3,5.0,4.2152,8.9644
951.4,6.0,6.2097,3.2511
951.5,7.0,6.0483,9.3368
951.6,8.0,-0.1188,-2.422
952,2.0,7.8915,3.3599
952.1,3.0,7.0287,4.2446
952.2,4.0,5.0394,9.3118
952.3,5.0,4.219,9.0817
952.4,6.0,6.2197,3.1958
952.5,7.0,6.0289,9.1934
952.6,8.0,-0.02006,-2.3668
953,2.0,7.9098,3.3056
953.1,3.0,7.0391,4.1909
953.2,4.0,5.0559,9.4149
953.3,5.0,4.2228,9.1989
953.4,6.0,6.2298,3.1406
953.5,7.0,6.0094,9.05
953.6,8.0,0.078675,-2.3115
954,2.0,7.928,3.2514
954.1,3.0,7.0495,4.1372
954.2,4.0,5.0723,9.5181
954.3,5.0,4.2266,9.3162
954.4,6.0,6.2398,3.0853
954.5,7.0,5.99,8.9066
954.6,8.0,0.17741,-2.2563
955,2.0,7.9404,3.1802
955.1,3.0,7.039,4.0738
955.2,4.0,5.0818,9.6192
955.3,5.0,4.2373,9.4181
955.4,6.0,6.2649,3.0226
955.5,7.0,5.969,8.7806
955.6,8.0,0.23592,-2.1592
956,2.0,7.9527,3.109
956.1,3.0,7.0284,4.0104
956.2,4.0,5.0913,9.7202
956.3,5.0,4.2481,9.52
956.4,6.0,6.29,2.9599
956.5,7.0,5.948,8.6546
956.6,8.0,0.29443,-2.0622
957,2.0,7.9651,3.0378
957.1,3.0,7.0179,3.9471
957.2,4.0,5.1008,9.8213
957.3,5.0,4.2589,9.6219
957.4,6.0,6.3152,2.8971
957.5,7.0,5.9271,8.5286
957.6,8.0,0.35295,-1.9652
958,2.0,7.9774,2.9666
958.1,3.0,7.0074,3.8837
958.2,4.0,5.1103,9.9224
958.3,5.0,4.2697,9.7238
958.4,6.0,6.3403,2.8344
958.5,7.0,5.9061,8.4026
958.6,8.0,0.41146,-1.8682
959,2.0,7.9898,2.8953
959.1,3.0,6.9968,3.8203
959.2,4.0,5.1198,10.023
959.3,5.0,4.2805,9.8257
959.4,6.0,6.3654,2.7717
959.5,7.0,5.8851,8.2766
959.6,8.0,0.46997,-1.7711
960,2.0,8.0021,2.8241
960.1,3.0,6.9863,3.7569
960.2,4.0,5.1293,10.125
960.3,5.0,4.2913,9.9276
960.4,6.0,6.3906,2.709
960.5,7.0,5.8642,8.1506
960.6,8.0,0.52848,-1.6741
961,2.0,8.008,2.7435
961.1,3.0,6.9824,3.7012
961.2,4.0,5.1458,10.211
961.3,5.0,4.3089,10.015
961.4,6.0,6.3861,2.6517
961.5,7.0,5.8634,8.0229
961.6,8.0,0.56138,-1.6258
962,2.0,8.0138,2.6629
962.1,3.0,6.9785,3.6456
962.2,4.0,5.1623,10.298
962.3,5.0,4.3266,10.102
962.4,6.0,6.3817,2.5944
962.5,7.0,5.8626,7.8952
962.6,8.0,0.59428,-1.5776
963,2.0,8.0196,2.5823
963.1,3.0,6.9746,3.59
963.2,4.0,5.1788,10.384
963.3,5.0,4.3442,10.189
963.4,6.0,6.3773,2.5371
963.5,7.0,5.8619,7.7676
963.6,8.0,0.62718,-1.5293
964,2.0,8.0254,2.5017
964.1,3.0,6.9707,3.5343
964.2,4.0,5.1953,10.471
964.3,5.0,4.3619,10.277
964.4,6.0,6.3729,2.4798
964.5,7.0,5.8611,7.6399
964.6,8.0,0.66008,-1.481
965,2.0,8.0312,2.4211
965.1,3.0,6.9668,3.4787
965.2,4.0,5.2118,10.557
965.3,5.0,4.3795,10.364
965.4,6.0,6.3685,2.4225
965.5,7.0,5.8604,7.5122
965.6,8.0,0.69298,-1.4327
966,2.0,8.037,2.3405
966.1,3.0,6.9629,3.423
966.2,4.0,5.2282,10.644
966.3,5.0,4.3972,10.451
966.4,6.0,6.3641,2.3653
966.5,7.0,5.8596,7.3845
966.6,8.0,0.72588,-1.3844
967,2.0,8.0283,2.2578
967.1,3.0,6.9444,3.3659
967.2,4.0,5.2507,10.736
967.3,5.0,4.4209,10.544
967.4,6.0,6.3449,2.3064
967.5,7.0,5.8519,7.2537
967.6,8.0,0.78327,-1.2718
968,2.0,8.0196,2.1751
968.1,3.0,6.926,3.3088
968.2,4.0,5.2733,10.828
968.3,5.0,4.4447,10.636
968.4,6.0,6.3257,2.2475
968.5,7.0,5.8442,7.1229
968.6,8.0,0.84067,-1.1592
969,2.0,8.0109,2.0924
969.1,3.0,6.9076,3.2516
969.2,4.0,5.2958,10.919
969.3,5.0,4.4685,10.729
969.4,6.0,6.3065,2.1886
969.5,7.0,5.8364,6.9921
969.6,8.0,0.89806,-1.0466
970,2.0,8.0021,2.0097
970.1,3.0,6.8891,3.1945
970.2,4.0,5.3183,11.011
970.3,5.0,4.4923,10.822
970.4,6.0,6.2873,2.1297
970.5,7.0,5.8287,6.8613
970.6,8.0,0.95545,-0.93394
971,2.0,7.9934,1.927
971.1,3.0,6.8707,3.1373
971.2,4.0,5.3408,11.103
971.3,5.0,4.5161,10.914
971.4,6.0,6.2681,2.0708
971.5,7.0,5.821,6.7305
971.6,8.0,1.0128,-0.82131
972,2.0,7.9847,1.8443
972.1,3.0,6.8523,3.0802
972.2,4.0,5.3633,11.195
972.3,5.0,4.5399,11.007
972.4,6.0,6.2489,2.0119
972.5,7.0,5.8132,6.5997
972.6,8.0,1.0702,-0.70869
973,2.0,7.9674,1.7765
973.1,3.0,6.8841,3.0341
973.2,4.0,5.3787,11.292
973.3,5.0,4.504,11.102
973.4,6.0,6.2369,1.953
973.5,7.0,5.7906,6.4801
973.6,8.0,1.1338,-0.65026
974,2.0,7.95,1.7088
974.1,3.0,6.916,2.9881
974.2,4.0,5.394,11.388
974.3,5.0,4.4682,11.198
974.4,6.0,6.225,1.8941
974.5,7.0,5.7679,6.3605
974.6,8.0,1.1974,-0.59184
975,2.0,7.9327,1.6411
975.1,3.0,6.9478,2.9421
